Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
159,2021,Andrew Sendejo (FA),29,11,0,2,0,1,1,0,11,68.1,6.2,0.0%
109,2020,Andrew Sendejo (FA),50,16,0,2,0,1,0,0,14,94.4,6.7,0.0%
135,2019,Andrew Sendejo (FA),30,9,1,4,3,0,0,0,15,82.0,5.5,0.0%
215,2018,Andrew Sendejo (FA),21,6,0,1,0,0,0,0,5,37.6,7.5,0.0%
72,2017,Andrew Sendejo (FA),52,25,0,7,2,0,0,0,13,120.0,9.2,0.0%
85,2016,Andrew Sendejo (FA),42,24,0.5,4,2,0,2,0,14,107.3,7.7,0.0%
72,2015,Andrew Sendejo (FA),57,16,0.5,3,1,0,1,0,13,113.4,8.7,0.0%
227,2014,Andrew Sendejo (FA),13,6,0,0,0,1,0,0,16,28.0,1.8,0.0%
83,2013,Andrew Sendejo (FA),48,31,0,2,1,0,0,0,16,116.1,7.3,0.0%
352,2012,Andrew Sendejo (FA),0,0,0,0,0,0,0,0,13,0.0,0.0,0.0%
324,2011,Andrew Sendejo (FA),0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
345,2010,Andrew Sendejo (FA),0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
