Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
9,2019,Antoine Bethea (FA),81,29,0,6,1,0,2,0,16,170.7,10.7,28.0%
2,2018,Antoine Bethea (FA),100,21,3,4,0,1,0,0,16,200.6,12.5,28.0%
57,2017,Antoine Bethea (FA),47,10,1,9,5,1,0,0,15,127.3,8.5,28.0%
4,2016,Antoine Bethea (FA),95,15,0,3,1,1,1,0,16,179.2,11.2,28.0%
155,2015,Antoine Bethea (FA),32,12,1,2,0,0,0,0,7,69.2,9.9,28.0%
7,2014,Antoine Bethea (FA),72,14,1,10,4,1,0,1,16,177.8,11.1,28.0%
10,2013,Antoine Bethea (FA),80,30,1,6,2,0,1,0,16,177.4,11.1,28.0%
29,2012,Antoine Bethea (FA),75,25,2,7,0,0,0,0,16,157.5,9.8,28.0%
5,2011,Antoine Bethea (FA),80,59,0,7,0,2,1,0,16,192.2,12.0,28.0%
38,2010,Antoine Bethea (FA),77,29,0.5,5,1,1,0,0,16,158.6,9.9,28.0%
17,2009,Antoine Bethea (FA),70,25,0,5,4,2,1,0,16,168.6,10.5,28.0%
21,2008,Antoine Bethea (FA),74,27,0,4,2,0,1,0,16,156.5,9.8,28.0%
31,2007,Antoine Bethea (FA),46,18,0,8,4,0,0,0,13,114.7,8.8,28.0%
54,2006,Antoine Bethea (FA),65,24,0,5,1,0,0,0,13,128.3,9.9,28.0%
