Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
243,2016,Antonio Cromartie (FA),14,0,0,2,0,0,0,0,4,24.0,6.0,0.0%
159,2015,Antonio Cromartie (FA),26,3,0,12,0,0,1,0,15,68.3,4.6,0.0%
70,2014,Antonio Cromartie (FA),44,5,0,10,3,0,1,1,16,117.4,7.3,0.0%
133,2013,Antonio Cromartie (FA),35,3,0,9,3,1,0,0,16,87.4,5.5,0.0%
107,2012,Antonio Cromartie (FA),30,5,0,13,3,0,0,1,16,91.9,5.7,0.0%
99,2011,Antonio Cromartie (FA),34,9,0,12,4,1,0,0,16,100.0,6.3,0.0%
94,2010,Antonio Cromartie (FA),41,1,0,17,3,0,1,0,15,106.8,7.1,0.0%
134,2009,Antonio Cromartie (FA),31,2,0,10,3,0,0,0,16,78.1,4.9,0.0%
48,2008,Antonio Cromartie (FA),60,4,0,9,2,0,0,1,16,122.6,7.7,0.0%
10,2007,Antonio Cromartie (FA),33,4,0,18,10,0,2,2,16,155.6,9.7,0.0%
182,2006,Antonio Cromartie (FA),12,2,0,5,0,0,0,0,16,27.1,1.7,0.0%
