Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
89,2011,Brian Dawkins (FA),38,13,3,6,0,1,0,0,14,104.6,7.5,0.0%
62,2010,Brian Dawkins (FA),55,11,2,5,1,2,0,0,11,127.0,11.5,0.0%
2,2009,Brian Dawkins (FA),95,21,0,10,2,1,3,0,16,214.6,13.4,0.0%
36,2008,Brian Dawkins (FA),51,7,2,5,1,4,0,0,12,133.5,11.1,0.0%
180,2007,Brian Dawkins (FA),9,0,0,2,0,0,0,0,3,16.5,5.5,0.0%
6,2006,Brian Dawkins (FA),76,22,1,14,4,5,0,0,16,196.1,12.3,0.0%
4,2005,Brian Dawkins (FA),69,11,3.5,24,3,4,1,0,16,199.8,12.5,0.0%
21,2004,Brian Dawkins (FA),62,8,3,12,4,2,1,0,15,168.7,11.2,0.0%
131,2003,Brian Dawkins (FA),28,7,0.5,6,1,0,0,0,7,65.9,9.4,0.0%
3,2002,Brian Dawkins (FA),66,29,3,12,2,5,3,0,16,205.8,12.9,0.0%
