Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
404,2019,Corey Graham (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
118,2018,Corey Graham (FA),41,12,0,5,1,0,1,0,13,89.6,6.9,0.0%
168,2017,Corey Graham (FA),28,4,0,4,2,0,0,0,14,63.7,4.6,0.0%
36,2016,Corey Graham (FA),57,25,1,9,1,0,1,0,16,136.1,8.5,0.0%
4,2015,Corey Graham (FA),91,31,1,4,2,0,2,1,16,204.2,12.8,0.0%
38,2014,Corey Graham (FA),59,18,0,16,2,0,1,0,16,140.3,8.8,0.0%
28,2013,Corey Graham (FA),51,17,1,12,4,1,0,0,16,148.0,9.3,0.0%
106,2012,Corey Graham (FA),36,18,0,8,2,0,0,0,16,92.2,5.8,0.0%
221,2011,Corey Graham (FA),4,1,0,3,3,0,0,0,16,26.3,1.6,0.0%
331,2010,Corey Graham (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
196,2009,Corey Graham (FA),17,2,0,1,0,0,0,0,16,28.6,1.8,0.0%
29,2008,Corey Graham (FA),69,12,0,8,1,1,1,0,16,145.3,9.1,0.0%
215,2007,Corey Graham (FA),0,0,0,0,0,0,0,0,13,6.0,0.5,0.0%
