Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
236,2015,Cortland Finnegan (FA),15,3,0,1,0,0,0,0,5,26.3,5.3,0.0%
120,2014,Cortland Finnegan (FA),33,11,0,8,0,1,1,1,12,86.5,7.2,0.0%
190,2013,Cortland Finnegan (FA),23,4,0,1,1,0,0,0,7,44.1,6.3,0.0%
9,2012,Cortland Finnegan (FA),83,18,1,9,3,1,0,1,16,188.3,11.8,0.0%
37,2011,Cortland Finnegan (FA),58,17,1,11,1,0,1,0,16,144.6,9.0,0.0%
11,2010,Cortland Finnegan (FA),82,18,1,9,2,1,0,1,16,184.3,11.5,0.0%
55,2009,Cortland Finnegan (FA),56,7,0,11,5,0,0,1,13,137.1,10.5,0.0%
14,2008,Cortland Finnegan (FA),57,12,1,17,5,0,0,1,16,165.3,10.3,0.0%
6,2007,Cortland Finnegan (FA),78,15,1,13,1,1,0,0,16,160.9,10.1,0.0%
77,2006,Cortland Finnegan (FA),46,12,2,7,0,1,2,1,15,114.8,7.7,0.0%
