Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
90,2021,Devin McCourty (NE),42,18,0,10,3,0,0,0,17,106.7,6.3,1.6%
62,2020,Devin McCourty (NE),45,23,0,6,2,0,0,1,16,121.0,7.6,1.6%
48,2019,Devin McCourty (NE),46,12,0,7,5,2,1,0,16,125.8,7.9,1.6%
52,2018,Devin McCourty (NE),55,22,0,4,1,1,2,1,16,130.7,8.2,1.6%
14,2017,Devin McCourty (NE),77,17,1,5,1,0,1,0,16,156.7,9.8,1.6%
40,2016,Devin McCourty (NE),64,14,0,7,1,1,1,0,16,133.0,8.3,1.6%
98,2015,Devin McCourty (NE),49,13,1,6,1,0,0,0,14,103.9,7.4,1.6%
82,2014,Devin McCourty (NE),50,17,0,6,2,1,0,0,16,111.2,7.0,1.6%
79,2013,Devin McCourty (NE),47,20,0,9,1,2,1,0,15,118.9,7.9,1.6%
25,2012,Devin McCourty (NE),60,19,0,13,5,1,0,0,16,160.6,10.0,1.6%
28,2011,Devin McCourty (NE),63,22,0,13,2,0,0,0,14,153.4,11.0,1.6%
16,2010,Devin McCourty (NE),60,12,1,17,7,2,0,0,16,179.3,11.2,1.6%
