Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
164,2013,Drayton Florence (FA),19,7,0,9,2,0,0,1,14,63.6,4.5,0.0%
176,2012,Drayton Florence (FA),17,2,0,7,1,0,0,0,8,47.5,5.9,0.0%
71,2011,Drayton Florence (FA),41,9,0,12,3,1,1,1,16,115.5,7.2,0.0%
53,2010,Drayton Florence (FA),49,9,0,15,3,1,1,2,16,143.0,8.9,0.0%
87,2009,Drayton Florence (FA),49,11,0,11,1,0,0,0,14,113.6,8.1,0.0%
122,2008,Drayton Florence (FA),33,4,0,3,0,1,1,0,15,67.7,4.5,0.0%
30,2007,Drayton Florence (FA),56,6,0,10,2,0,1,0,16,117.7,7.4,0.0%
59,2006,Drayton Florence (FA),52,12,0,16,3,0,0,0,16,126.2,7.9,0.0%
86,2005,Drayton Florence (FA),47,7,0,11,1,0,0,0,13,97.4,7.5,0.0%
113,2004,Drayton Florence (FA),28,4,0,8,4,0,0,0,12,82.2,6.9,0.0%
184,2003,Drayton Florence (FA),16,0,0,2,0,0,0,0,12,27.0,2.3,0.0%
