Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
130,2011,Lito Sheppard (FA),40,3,1,4,0,0,0,0,9,77.3,8.6,0.0%
200,2010,Lito Sheppard (FA),14,3,0,4,0,0,0,0,10,29.4,2.9,0.0%
158,2009,Lito Sheppard (FA),25,6,0,8,1,0,0,0,10,59.2,5.9,0.0%
175,2008,Lito Sheppard (FA),11,3,0,4,1,1,0,0,7,33.9,4.8,0.0%
151,2007,Lito Sheppard (FA),15,1,0,2,1,0,0,0,4,31.3,7.8,0.0%
81,2006,Lito Sheppard (FA),25,5,0,19,6,0,1,1,11,109.9,10.0,0.0%
112,2005,Lito Sheppard (FA),28,4,1,9,3,1,0,0,10,81.6,8.2,0.0%
42,2004,Lito Sheppard (FA),52,4,1,15,5,0,0,2,15,149.7,10.0,0.0%
92,2003,Lito Sheppard (FA),44,6,0,18,1,1,0,0,15,109.1,7.3,0.0%
220,2002,Lito Sheppard (FA),5,2,0,0,0,0,0,0,8,9.1,1.1,0.0%
