Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
55,2021,Malcolm Jenkins (FA),53,26,1,5,1,1,0,1,16,133.3,8.3,7.6%
4,2020,Malcolm Jenkins (FA),69,22,2.5,10,3,1,1,0,16,186.0,11.6,7.6%
15,2019,Malcolm Jenkins (FA),62,18,2.5,8,0,4,1,0,16,164.0,10.3,7.6%
10,2018,Malcolm Jenkins (FA),76,17,1,8,1,3,1,0,16,179.1,11.2,7.6%
29,2017,Malcolm Jenkins (FA),57,12,1,8,2,1,1,0,16,141.3,8.8,7.6%
25,2016,Malcolm Jenkins (FA),44,25,1,9,3,0,1,2,16,141.2,8.8,7.6%
3,2015,Malcolm Jenkins (FA),86,18,0,10,2,3,1,1,16,212.4,13.3,7.6%
20,2014,Malcolm Jenkins (FA),61,15,0,15,3,0,1,1,16,158.0,9.9,7.6%
55,2013,Malcolm Jenkins (FA),43,24,2.5,6,2,2,0,0,14,129.9,9.3,7.6%
43,2012,Malcolm Jenkins (FA),65,29,0,6,1,0,0,1,13,144.6,11.1,7.6%
42,2011,Malcolm Jenkins (FA),63,14,1,9,0,1,1,1,15,136.9,9.1,7.6%
52,2010,Malcolm Jenkins (FA),52,10,1,12,2,1,2,1,15,143.3,9.6,7.6%
130,2009,Malcolm Jenkins (FA),41,6,0,4,1,0,1,0,14,81.0,5.8,7.6%
