Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
143,2019,Morgan Burnett (FA),26,15,2,2,1,0,0,0,8,76.4,9.6,0.0%
197,2018,Morgan Burnett (FA),17,13,0,6,0,0,0,0,11,47.0,4.3,0.0%
96,2017,Morgan Burnett (FA),48,20,0,3,0,1,0,0,12,108.4,9.0,0.0%
6,2016,Morgan Burnett (FA),68,23,3,9,2,0,1,0,15,166.8,11.1,0.0%
67,2015,Morgan Burnett (FA),47,21,0,5,0,2,1,0,11,116.0,10.5,0.0%
3,2014,Morgan Burnett (FA),89,34,1.5,4,1,1,1,0,15,194.5,13.0,0.0%
41,2013,Morgan Burnett (FA),57,36,0,6,0,0,3,1,13,139.6,10.7,0.0%
2,2012,Morgan Burnett (FA),87,35,2,5,2,2,1,0,16,207.0,12.9,0.0%
6,2011,Morgan Burnett (FA),77,27,1,11,3,2,2,0,16,190.1,11.9,0.0%
207,2010,Morgan Burnett (FA),12,2,0,1,1,0,0,0,4,26.0,6.5,0.0%
