Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
221,2020,Patrick Robinson (FA),11,3,0,4,2,0,0,0,12,37.3,3.1,0.0%
242,2019,Patrick Robinson (FA),13,2,0,2,0,0,0,0,11,26.5,2.4,0.0%
297,2018,Patrick Robinson (FA),5,1,0,0,0,0,0,0,3,8.3,2.8,0.0%
69,2017,Patrick Robinson (FA),38,7,1,18,4,0,0,0,16,121.0,7.6,0.0%
204,2016,Patrick Robinson (FA),19,7,0,5,0,1,0,0,7,45.4,6.5,0.0%
115,2015,Patrick Robinson (FA),43,6,0,8,1,1,0,0,16,95.3,6.0,0.0%
140,2014,Patrick Robinson (FA),29,7,0,11,2,0,0,0,14,75.6,5.4,0.0%
294,2013,Patrick Robinson (FA),1,1,0,0,0,0,0,0,2,2.3,1.2,0.0%
40,2012,Patrick Robinson (FA),53,11,1,18,3,1,0,1,16,146.6,9.2,0.0%
69,2011,Patrick Robinson (FA),37,8,0,15,4,0,0,0,15,116.8,7.8,0.0%
179,2010,Patrick Robinson (FA),23,2,0,2,0,0,0,0,11,41.6,3.8,0.0%
