Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
25,2014,Ryan Clark (FA),68,33,0.5,3,1,0,2,0,16,154.2,9.6,0.0%
29,2013,Ryan Clark (FA),61,43,0,4,2,0,1,0,16,146.7,9.2,0.0%
15,2012,Ryan Clark (FA),74,28,0,7,2,2,1,0,15,174.9,11.7,0.0%
25,2011,Ryan Clark (FA),71,29,1,5,1,0,0,0,16,157.8,9.9,0.0%
56,2010,Ryan Clark (FA),57,33,0,7,2,0,1,0,16,135.0,8.4,0.0%
42,2009,Ryan Clark (FA),68,21,0,8,3,0,0,0,15,145.3,9.7,0.0%
61,2008,Ryan Clark (FA),50,33,0,6,1,0,0,0,14,114.0,8.1,0.0%
139,2007,Ryan Clark (FA),16,4,1,3,0,1,0,0,6,39.6,6.6,0.0%
84,2006,Ryan Clark (FA),45,24,0,4,1,0,3,0,13,108.8,8.4,0.0%
80,2005,Ryan Clark (FA),42,15,0.5,5,3,2,0,0,13,107.0,8.2,0.0%
86,2004,Ryan Clark (FA),61,14,0,1,0,0,0,0,15,108.9,7.3,0.0%
162,2003,Ryan Clark (FA),17,0,1,2,0,0,0,0,10,37.5,3.8,0.0%
261,2002,Ryan Clark (FA),0,1,0,0,0,0,0,0,2,0.8,0.4,0.0%
