Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
310,2020,Sherrick McManis (FA),1,0,0,1,1,0,0,0,11,8.0,0.7,0.1%
291,2019,Sherrick McManis (FA),3,0,0,1,0,1,0,0,9,10.0,1.1,0.1%
184,2018,Sherrick McManis (FA),20,2,1,4,1,0,0,0,15,51.6,3.4,0.1%
304,2017,Sherrick McManis (FA),1,0,0,0,0,0,1,0,13,5.5,0.4,0.1%
310,2016,Sherrick McManis (FA),3,0,0,0,0,0,0,0,16,4.5,0.3,0.1%
248,2015,Sherrick McManis (FA),12,4,0,0,0,0,0,0,16,21.1,1.3,0.1%
282,2014,Sherrick McManis (FA),3,1,0,0,0,0,1,0,12,9.3,0.8,0.1%
291,2013,Sherrick McManis (FA),1,0,0,1,0,0,0,0,15,3.0,0.2,0.1%
349,2012,Sherrick McManis (FA),0,0,0,0,0,0,0,0,12,0.0,0.0,0.1%
338,2011,Sherrick McManis (FA),0,0,0,0,0,0,0,0,9,0.0,0.0,0.1%
250,2010,Sherrick McManis (FA),1,1,0,1,1,0,0,0,14,8.8,0.6,0.1%
