Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
216,2021,Stephon Gilmore (IND),15,1,0,2,2,0,0,0,8,38.8,4.9,1.3%
165,2020,Stephon Gilmore (IND),30,7,0,3,1,1,0,0,11,66.4,6.0,1.3%
24,2019,Stephon Gilmore (IND),44,9,0,20,6,0,1,2,16,149.0,9.3,1.3%
60,2018,Stephon Gilmore (IND),40,5,1,20,2,2,1,0,16,122.5,7.7,1.3%
110,2017,Stephon Gilmore (IND),47,3,0,9,2,0,0,0,13,98.9,7.6,1.3%
79,2016,Stephon Gilmore (IND),42,6,0,12,5,0,0,0,15,110.7,7.4,1.3%
114,2015,Stephon Gilmore (IND),36,0,0,18,3,0,0,0,12,96.0,8.0,1.3%
101,2014,Stephon Gilmore (IND),38,8,0,6,3,1,0,0,14,98.8,7.1,1.3%
152,2013,Stephon Gilmore (IND),30,5,0,10,2,0,0,0,11,74.0,6.7,1.3%
59,2012,Stephon Gilmore (IND),52,9,0,16,1,3,0,0,16,128.5,8.0,1.3%
