Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
16,2015,Will Allen (FA),61,18,4,8,1,2,0,0,13,158.8,12.2,0.0%
197,2014,Will Allen (FA),17,13,0,0,0,1,0,0,16,41.9,2.6,0.0%
143,2013,Will Allen (FA),28,13,0,4,2,1,1,0,17,78.4,4.6,0.0%
181,2012,Will Allen (FA),16,14,0,3,0,1,0,0,16,43.1,2.7,0.0%
129,2011,Will Allen (FA),39,4,0,3,0,0,0,0,13,78.7,6.1,0.0%
359,2011,Will Allen (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
248,2010,Will Allen (FA),3,1,0,0,0,0,1,0,14,9.3,0.7,0.0%
171,2009,Will Allen (FA),19,2,0,6,2,0,0,0,6,49.1,8.2,0.0%
200,2009,Will Allen (FA),16,2,0,1,0,0,0,0,8,27.1,3.4,0.0%
65,2008,Will Allen (FA),35,5,1,13,3,1,0,1,12,109.9,9.2,0.0%
221,2008,Will Allen (FA),4,3,0,0,0,0,1,0,16,12.4,0.8,0.0%
109,2007,Will Allen (FA),24,5,0,7,0,1,0,0,8,54.4,6.8,0.0%
186,2007,Will Allen (FA),7,1,0,0,0,0,1,0,15,15.3,1.0,0.0%
76,2006,Will Allen (FA),42,14,1,11,1,1,3,0,15,115.3,7.7,0.0%
97,2006,Will Allen (FA),53,21,0,1,0,0,0,0,16,97.1,6.1,0.0%
59,2005,Will Allen (FA),62,8,0,11,0,1,1,0,16,123.8,7.7,0.0%
111,2005,Will Allen (FA),27,13,0,4,3,0,1,1,13,81.6,6.3,0.0%
23,2004,Will Allen (FA),75,6,1,19,1,1,0,0,16,166.2,10.4,0.0%
215,2004,Will Allen (FA),3,1,0,2,1,0,0,0,12,13.3,1.1,0.0%
106,2003,Will Allen (FA),33,7,0,14,2,0,1,0,12,90.0,7.5,0.0%
99,2002,Will Allen (FA),50,5,0,11,1,0,0,0,14,103.0,7.4,0.0%
