Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
42,2013,Yeremiah Bell (FA),58,15,1,9,2,0,0,0,16,138.4,8.7,0.0%
39,2012,Yeremiah Bell (FA),72,16,1,2,0,0,3,0,16,146.9,9.2,0.0%
16,2011,Yeremiah Bell (FA),81,26,2,4,1,0,1,0,16,169.3,10.6,0.0%
17,2010,Yeremiah Bell (FA),83,18,1.5,5,1,2,1,0,16,178.9,11.2,0.0%
4,2009,Yeremiah Bell (FA),92,22,1.5,8,3,0,0,0,16,195.3,12.2,0.0%
2,2008,Yeremiah Bell (FA),100,20,1,10,0,3,1,0,16,207.9,13.0,0.0%
210,2007,Yeremiah Bell (FA),4,1,0,0,0,0,0,0,1,6.8,6.8,0.0%
64,2006,Yeremiah Bell (FA),41,24,2,12,0,2,2,0,16,121.7,7.6,0.0%
137,2005,Yeremiah Bell (FA),13,8,3,3,1,1,2,0,16,59.2,3.7,0.0%
238,2004,Yeremiah Bell (FA),3,0,0,1,0,0,0,0,11,6.0,0.5,0.0%
