Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
228,2011,Aaron Smith (FA),3,5,0,0,0,0,0,0,4,8.4,2.1,0.0%
203,2010,Aaron Smith (FA),7,8,0,0,0,0,0,0,6,19.1,3.2,0.0%
179,2009,Aaron Smith (FA),6,3,2,0,0,0,0,0,4,29.4,7.4,0.0%
28,2008,Aaron Smith (FA),35,11,3.5,4,0,0,0,0,12,96.1,8.0,0.0%
110,2007,Aaron Smith (FA),12,4,1.5,0,0,0,1,0,6,31.1,5.2,0.0%
13,2006,Aaron Smith (FA),46,18,4.5,2,0,1,1,0,15,111.8,7.5,0.0%
46,2005,Aaron Smith (FA),30,10,2,3,1,1,1,0,14,88.2,6.3,0.0%
22,2004,Aaron Smith (FA),31,13,8,1,0,3,2,0,15,135.1,9.0,0.0%
50,2003,Aaron Smith (FA),36,9,2,7,0,1,0,0,16,103.5,6.5,0.0%
7,2002,Aaron Smith (FA),53,17,5.5,2,0,0,3,0,16,164.5,10.3,0.0%
