Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
208,2017,Alan Branch (FA),12,0,0,0,0,0,0,0,12,23.0,1.9,0.0%
52,2016,Alan Branch (FA),26,23,1.5,3,0,1,0,0,16,91.2,5.7,0.0%
97,2015,Alan Branch (FA),22,13,1,3,0,2,0,0,16,62.1,3.9,0.0%
212,2014,Alan Branch (FA),8,5,0,1,0,0,0,0,8,19.9,2.5,0.0%
117,2013,Alan Branch (FA),21,18,0,1,0,0,0,0,16,51.9,3.2,0.0%
123,2012,Alan Branch (FA),16,13,1,2,0,0,1,0,16,47.5,3.0,0.0%
85,2011,Alan Branch (FA),21,13,3,2,0,0,0,0,15,69.1,4.6,0.0%
74,2010,Alan Branch (FA),27,8,2,1,0,2,0,0,16,79.2,5.0,0.0%
148,2009,Alan Branch (FA),14,4,2,2,0,0,0,0,16,42.6,2.7,0.0%
214,2008,Alan Branch (FA),5,1,0,0,0,0,0,0,4,8.3,2.1,0.0%
168,2007,Alan Branch (FA),8,1,0,0,0,0,0,0,11,12.8,1.2,0.0%
