Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
140,2013,Aubrayo Franklin (FA),17,12,0,1,0,0,0,0,16,41.4,2.6,0.0%
172,2012,Aubrayo Franklin (FA),16,4,0,0,0,0,0,0,12,27.1,2.3,0.0%
184,2011,Aubrayo Franklin (FA),12,5,0,0,0,0,0,0,16,24.4,1.5,0.0%
90,2010,Aubrayo Franklin (FA),38,1,0,1,0,0,1,0,16,68.3,4.3,0.0%
73,2009,Aubrayo Franklin (FA),25,11,2,3,1,0,0,0,16,81.0,5.1,0.0%
43,2008,Aubrayo Franklin (FA),33,13,1,2,0,2,0,0,16,84.5,5.3,0.0%
90,2007,Aubrayo Franklin (FA),18,8,0,1,0,1,0,0,14,38.8,2.8,0.0%
170,2006,Aubrayo Franklin (FA),14,3,0,1,0,0,0,0,12,24.9,2.1,0.0%
160,2005,Aubrayo Franklin (FA),18,2,1,1,0,0,0,0,11,34.1,3.1,0.0%
245,2004,Aubrayo Franklin (FA),2,0,0,0,0,0,0,0,1,3.0,3.0,0.0%
247,2003,Aubrayo Franklin (FA),1,0,0,0,0,0,0,0,1,1.5,1.5,0.0%
