Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
5,2021,Cameron Jordan (NO),38,21,12.5,6,0,2,0,0,16,172.7,10.8,23.3%
16,2020,Cameron Jordan (NO),34,17,7.5,3,0,1,0,0,16,130.1,8.1,23.3%
5,2019,Cameron Jordan (NO),37,16,15.5,3,0,0,1,0,16,175.8,11.0,23.3%
10,2018,Cameron Jordan (NO),35,14,12,6,0,1,1,0,16,173.3,10.8,23.3%
1,2017,Cameron Jordan (NO),48,14,13,11,1,2,0,1,16,212.7,13.3,23.3%
4,2016,Cameron Jordan (NO),40,18,7.5,6,0,1,0,0,16,159.3,10.0,23.3%
9,2015,Cameron Jordan (NO),32,13,10,5,0,1,2,0,16,155.1,9.7,23.3%
24,2014,Cameron Jordan (NO),32,19,7.5,5,1,0,1,0,16,129.2,8.1,23.3%
9,2013,Cameron Jordan (NO),29,18,12.5,4,0,2,2,0,16,161.7,10.1,23.3%
12,2012,Cameron Jordan (NO),41,26,8,3,0,3,2,0,16,158.0,9.9,23.3%
107,2011,Cameron Jordan (NO),18,13,1,4,0,0,1,0,16,56.0,3.5,23.3%
