Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
227,2017,Charles Johnson (FA),4,12,0,1,0,0,0,0,12,16.6,1.4,0.0%
92,2016,Charles Johnson (FA),14,12,4,2,0,3,0,0,13,66.1,5.1,0.0%
200,2015,Charles Johnson (FA),5,7,1,1,0,0,0,0,9,23.4,2.6,0.0%
26,2014,Charles Johnson (FA),29,12,8.5,2,0,3,1,0,16,128.3,8.0,0.0%
27,2013,Charles Johnson (FA),25,6,11,0,0,1,1,0,14,126.7,9.1,0.0%
10,2012,Charles Johnson (FA),31,11,12.5,4,0,7,1,0,16,160.5,10.0,0.0%
15,2011,Charles Johnson (FA),31,10,9,4,0,1,0,0,15,147.8,9.9,0.0%
3,2010,Charles Johnson (FA),51,11,11.5,1,0,1,0,0,16,171.5,10.7,0.0%
87,2009,Charles Johnson (FA),17,8,4,3,0,2,0,0,13,67.7,5.2,0.0%
36,2008,Charles Johnson (FA),20,5,6,7,0,1,1,0,16,88.9,5.6,0.0%
221,2007,Charles Johnson (FA),1,1,0,0,0,0,0,0,3,2.3,0.8,0.0%
