Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
250,2017,Cliff Avril (FA),2,0,1,0,0,0,0,0,4,9.5,2.4,0.1%
20,2016,Cliff Avril (FA),20,19,11.5,3,0,5,0,0,16,135.2,8.5,0.1%
17,2015,Cliff Avril (FA),31,16,9,7,0,2,0,0,16,140.9,8.8,0.1%
78,2014,Cliff Avril (FA),15,7,5,2,0,1,1,0,16,74.0,4.6,0.1%
57,2013,Cliff Avril (FA),14,6,8,4,0,5,1,0,15,97.7,6.5,0.1%
27,2012,Cliff Avril (FA),28,7,9.5,1,0,2,0,0,16,120.0,7.5,0.1%
4,2011,Cliff Avril (FA),29,7,11,4,1,6,3,2,16,169.5,10.6,0.1%
34,2010,Cliff Avril (FA),23,9,8.5,5,0,1,1,0,13,108.5,8.3,0.1%
36,2009,Cliff Avril (FA),26,14,5.5,3,0,3,0,0,13,100.8,7.8,0.1%
38,2008,Cliff Avril (FA),17,5,5,0,0,4,1,0,15,87.0,5.8,0.1%
