Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
251,2019,Clinton McDonald (FA),2,6,0,0,0,0,0,0,9,7.7,0.9,0.0%
114,2018,Clinton McDonald (FA),19,12,2,0,0,0,0,0,15,55.8,3.7,0.0%
80,2017,Clinton McDonald (FA),18,11,5,1,0,0,0,0,14,72.0,5.1,0.0%
76,2016,Clinton McDonald (FA),25,11,3.5,0,0,0,0,0,12,75.0,6.3,0.0%
140,2015,Clinton McDonald (FA),21,10,0,0,0,0,0,0,6,44.0,7.3,0.0%
33,2014,Clinton McDonald (FA),34,11,5,2,1,0,2,0,13,118.1,9.1,0.0%
64,2013,Clinton McDonald (FA),19,16,5.5,2,1,0,1,0,15,92.2,6.1,0.0%
143,2012,Clinton McDonald (FA),17,8,0,1,0,0,0,0,14,38.3,2.7,0.0%
120,2011,Clinton McDonald (FA),21,14,0,0,0,0,1,0,15,48.8,3.3,0.0%
242,2010,Clinton McDonald (FA),2,2,0,0,0,0,0,0,8,4.6,0.6,0.0%
