Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
177,2021,Corey Peters (FA),10,14,0,1,0,0,1,0,13,38.8,3.0,0.0%
167,2020,Corey Peters (FA),10,5,2,1,0,0,0,0,9,35.9,4.0,0.0%
94,2019,Corey Peters (FA),19,19,2.5,0,0,0,0,0,16,68.2,4.3,0.0%
53,2018,Corey Peters (FA),33,17,2.5,0,0,0,1,0,15,99.1,6.6,0.0%
148,2017,Corey Peters (FA),18,4,1,1,0,0,0,0,12,45.6,3.8,0.0%
160,2016,Corey Peters (FA),12,9,0,0,0,0,0,0,15,34.9,2.3,0.0%
121,2014,Corey Peters (FA),15,11,2,0,0,0,0,0,15,54.1,3.6,0.0%
62,2013,Corey Peters (FA),29,17,5,2,0,0,0,0,15,94.6,6.3,0.0%
177,2012,Corey Peters (FA),11,4,0,1,0,1,0,0,10,25.1,2.5,0.0%
71,2011,Corey Peters (FA),21,5,3,3,1,0,1,1,15,81.9,5.5,0.0%
118,2010,Corey Peters (FA),24,8,1,1,0,0,0,0,16,52.8,3.3,0.0%
