Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
157,2016,Cullen Jenkins (FA),10,6,1.5,0,0,0,0,0,15,35.7,2.4,0.0%
115,2015,Cullen Jenkins (FA),15,11,3,2,0,0,0,0,16,53.6,3.4,0.0%
180,2014,Cullen Jenkins (FA),7,8,1,1,0,0,1,0,12,33.7,2.8,0.0%
61,2013,Cullen Jenkins (FA),25,6,5,0,0,2,2,0,16,95.8,6.0,0.0%
71,2012,Cullen Jenkins (FA),22,4,4,1,0,1,1,0,16,79.2,5.0,0.0%
39,2011,Cullen Jenkins (FA),33,7,5.5,0,0,0,1,0,16,108.5,6.8,0.0%
91,2010,Cullen Jenkins (FA),13,5,7,1,0,0,0,0,11,68.0,6.2,0.0%
40,2009,Cullen Jenkins (FA),23,9,4.5,1,1,3,0,0,16,98.1,6.1,0.0%
129,2008,Cullen Jenkins (FA),10,3,2.5,1,0,1,0,0,4,42.8,10.7,0.0%
34,2007,Cullen Jenkins (FA),26,18,1,6,0,0,0,0,16,65.7,4.1,0.0%
60,2006,Cullen Jenkins (FA),23,9,6.5,1,0,0,2,0,14,77.0,5.5,0.0%
80,2005,Cullen Jenkins (FA),23,14,3,5,0,0,1,0,16,68.9,4.3,0.0%
104,2004,Cullen Jenkins (FA),12,6,4.5,1,0,1,1,0,14,65.3,4.7,0.0%
