Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
141,2021,Everson Griffen (FA),10,5,5,0,0,1,0,0,9,52.8,5.9,1.1%
58,2020,Everson Griffen (FA),18,15,6,4,0,0,0,0,14,86.2,6.2,1.1%
30,2019,Everson Griffen (FA),26,15,8,2,1,0,0,0,15,118.0,7.9,1.1%
79,2018,Everson Griffen (FA),22,11,5.5,1,0,0,0,0,11,77.6,7.1,1.1%
15,2017,Everson Griffen (FA),31,14,13,1,0,3,0,0,15,152.8,10.2,1.1%
10,2016,Everson Griffen (FA),36,12,8,1,0,2,3,1,16,145.3,9.1,1.1%
14,2015,Everson Griffen (FA),34,10,10.5,4,0,1,0,0,15,145.8,9.7,1.1%
7,2014,Everson Griffen (FA),41,17,12,3,0,1,0,0,16,172.1,10.8,1.1%
79,2013,Everson Griffen (FA),18,9,5.5,0,0,1,0,0,16,77.7,4.9,1.1%
30,2012,Everson Griffen (FA),20,3,8,2,1,0,2,1,16,113.9,7.1,1.1%
130,2011,Everson Griffen (FA),8,4,4,2,0,0,1,0,16,45.7,2.9,1.1%
236,2010,Everson Griffen (FA),4,0,0,0,0,0,0,0,11,6.0,0.5,1.1%
