Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
323,2020,Geno Atkins (FA),1,0,0,0,0,0,0,0,8,1.5,0.2,0.0%
75,2019,Geno Atkins (FA),18,29,4.5,0,0,0,0,0,16,77.1,4.8,0.0%
30,2018,Geno Atkins (FA),24,21,10,0,0,0,0,0,16,124.8,7.8,0.0%
31,2017,Geno Atkins (FA),29,17,9,0,0,0,0,0,16,117.6,7.4,0.0%
37,2016,Geno Atkins (FA),21,11,9,0,0,0,0,0,16,108.6,6.8,0.0%
15,2015,Geno Atkins (FA),31,11,11,0,0,1,0,0,16,145.4,9.1,0.0%
67,2014,Geno Atkins (FA),20,14,3,1,0,1,0,0,16,78.5,4.9,0.0%
107,2013,Geno Atkins (FA),9,11,6,0,0,0,0,0,9,58.3,6.5,0.0%
5,2012,Geno Atkins (FA),39,15,12.5,2,0,4,0,0,16,181.7,11.4,0.0%
22,2011,Geno Atkins (FA),26,21,7.5,2,0,2,2,1,16,135.1,8.4,0.0%
157,2010,Geno Atkins (FA),10,6,3,1,0,0,0,0,16,38.3,2.4,0.0%
