Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
360,2021,Jabaal Sheard (FA),0,1,0,0,0,0,0,0,1,0.8,0.8,0.0%
161,2020,Jabaal Sheard (FA),10,9,1.5,1,0,1,0,0,10,38.4,3.8,0.0%
98,2019,Jabaal Sheard (FA),20,5,4.5,2,0,0,0,0,14,67.5,4.8,0.0%
24,2018,Jabaal Sheard (FA),37,13,5.5,4,0,0,1,0,16,132.6,8.3,0.0%
26,2017,Jabaal Sheard (FA),37,15,5.5,3,0,2,0,0,16,121.6,7.6,0.0%
60,2016,Jabaal Sheard (FA),20,13,5,4,0,0,0,0,15,83.4,5.6,0.0%
32,2015,Jabaal Sheard (FA),28,9,8,2,0,4,0,0,13,122.5,9.4,0.0%
73,2014,Jabaal Sheard (FA),25,19,2,3,0,0,0,0,16,74.5,4.7,0.0%
65,2013,Jabaal Sheard (FA),19,17,5.5,4,0,1,1,0,13,90.2,6.9,0.0%
21,2012,Jabaal Sheard (FA),38,17,7,3,0,1,0,0,16,128.9,8.1,0.0%
13,2011,Jabaal Sheard (FA),40,15,8.5,2,0,5,1,0,16,155.2,9.7,0.0%
