Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
326,2015,Jason Babin (FA),0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
304,2014,Jason Babin (FA),14,11,2,0,0,0,0,0,16,0.0,0.0,0.0%
295,2013,Jason Babin (FA),31,9,7.5,0,0,3,0,0,16,0.0,0.0,0.0%
307,2012,Jason Babin (FA),28,9,7,0,0,4,1,0,16,0.0,0.0,0.0%
323,2011,Jason Babin (FA),35,5,18,1,0,3,0,0,16,0.0,0.0,0.0%
329,2010,Jason Babin (FA),44,14,12.5,0,0,2,0,0,16,0.0,0.0,0.0%
318,2009,Jason Babin (FA),9,5,2.5,0,0,0,0,0,12,0.0,0.0,0.0%
313,2008,Jason Babin (FA),26,6,2,0,0,0,0,0,9,0.0,0.0,0.0%
313,2007,Jason Babin (FA),0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
354,2006,Jason Babin (FA),19,6,5,0,0,0,0,0,15,0.0,0.0,0.0%
353,2005,Jason Babin (FA),26,11,4,2,0,2,0,0,12,0.0,0.0,0.0%
375,2004,Jason Babin (FA),51,12,4,5,0,0,2,0,16,0.0,0.0,0.0%
