Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
306,2014,John Abraham (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
294,2013,John Abraham (FA),31,6,11.5,3,0,4,0,0,16,0.0,0.0,0.0%
293,2012,John Abraham (FA),32,3,10,8,0,6,0,0,16,0.0,0.0,0.0%
309,2011,John Abraham (FA),25,10,9.5,2,0,4,1,0,15,0.0,0.0,0.0%
335,2010,John Abraham (FA),36,5,13,4,1,2,0,0,15,0.0,0.0,0.0%
325,2009,John Abraham (FA),30,5,5.5,1,0,1,0,0,16,0.0,0.0,0.0%
320,2008,John Abraham (FA),37,1,16.5,1,0,4,0,0,16,0.0,0.0,0.0%
314,2007,John Abraham (FA),31,1,10,4,0,4,0,0,16,0.0,0.0,0.0%
358,2006,John Abraham (FA),15,3,4,1,0,4,0,0,8,0.0,0.0,0.0%
354,2005,John Abraham (FA),44,14,10.5,2,0,6,1,0,16,0.0,0.0,0.0%
376,2004,John Abraham (FA),35,14,9.5,2,0,3,1,0,11,0.0,0.0,0.0%
365,2003,John Abraham (FA),24,8,6,0,0,1,0,0,7,0.0,0.0,0.0%
352,2002,John Abraham (FA),48,13,10,2,0,1,0,0,16,0.0,0.0,0.0%
