Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
336,2019,Julius Peppers (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
73,2018,Julius Peppers (FA),13,7,5,6,0,2,1,0,16,81.0,5.1,0.1%
24,2017,Julius Peppers (FA),21,12,11,0,0,2,2,0,16,125.6,7.9,0.1%
56,2016,Julius Peppers (FA),15,8,7.5,3,0,2,1,0,16,87.9,5.5,0.1%
33,2015,Julius Peppers (FA),25,12,10.5,0,0,2,0,0,16,119.3,7.5,0.1%
11,2014,Julius Peppers (FA),29,14,7,11,2,4,3,2,16,161.4,10.1,0.1%
22,2013,Julius Peppers (FA),31,14,7,3,1,2,1,1,16,132.7,8.3,0.1%
14,2012,Julius Peppers (FA),32,7,11.5,2,0,1,4,0,16,155.0,9.7,0.1%
8,2011,Julius Peppers (FA),33,4,11,4,0,3,2,0,16,160.1,10.0,0.1%
5,2010,Julius Peppers (FA),43,11,8,9,2,3,0,0,16,168.0,10.5,0.1%
4,2009,Julius Peppers (FA),36,6,10.5,5,2,5,1,1,16,173.3,10.8,0.1%
2,2008,Julius Peppers (FA),40,11,14.5,4,0,5,0,0,16,195.1,12.2,0.1%
18,2007,Julius Peppers (FA),30,8,2.5,4,1,3,2,0,14,94.8,6.8,0.1%
1,2006,Julius Peppers (FA),49,9,13,6,0,3,2,0,16,161.4,10.1,0.1%
8,2005,Julius Peppers (FA),38,12,10.5,7,0,2,1,0,16,130.7,8.2,0.1%
4,2004,Julius Peppers (FA),53,12,11,9,2,4,1,2,16,213.3,13.3,0.1%
23,2003,Julius Peppers (FA),39,7,7,3,0,3,0,0,16,133.5,8.3,0.1%
8,2002,Julius Peppers (FA),29,7,12,6,1,5,0,0,12,158.4,13.2,0.1%
