Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
41,2014,Justin Smith (FA),28,15,5,0,0,2,1,0,16,103.1,6.4,0.0%
33,2013,Justin Smith (FA),32,17,6.5,0,0,1,0,0,16,113.6,7.1,0.0%
23,2012,Justin Smith (FA),47,19,3,2,0,0,1,0,14,126.4,9.0,0.0%
20,2011,Justin Smith (FA),45,13,7.5,2,0,3,1,0,16,141.5,8.8,0.0%
7,2010,Justin Smith (FA),57,13,8.5,1,0,1,0,0,16,165.1,10.3,0.0%
10,2009,Justin Smith (FA),41,14,6,1,0,2,2,0,16,141.2,8.8,0.0%
5,2008,Justin Smith (FA),50,23,7,3,1,1,0,0,16,159.2,10.0,0.0%
11,2007,Justin Smith (FA),49,29,2,3,0,0,0,0,16,108.1,6.8,0.0%
3,2006,Justin Smith (FA),49,31,7.5,3,0,1,2,0,16,143.5,9.0,0.0%
17,2005,Justin Smith (FA),45,21,6,2,0,1,1,0,16,118.6,7.4,0.0%
15,2004,Justin Smith (FA),42,29,8,2,0,2,2,0,16,158.7,9.9,0.0%
30,2003,Justin Smith (FA),41,19,5,3,0,1,0,0,15,124.7,8.3,0.0%
15,2002,Justin Smith (FA),48,13,6.5,3,0,2,0,0,16,143.1,8.9,0.0%
