Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
179,2015,Justin Tuck (FA),7,7,1,3,0,0,0,0,5,31.8,6.4,0.0%
32,2014,Justin Tuck (FA),28,15,5,3,1,2,0,0,15,118.6,7.9,0.0%
3,2013,Justin Tuck (FA),41,22,11,3,1,2,0,0,16,177.3,11.1,0.0%
69,2012,Justin Tuck (FA),27,18,4,1,0,0,0,0,15,81.7,5.4,0.0%
56,2011,Justin Tuck (FA),27,10,5,3,0,1,0,0,12,91.7,7.6,0.0%
1,2010,Justin Tuck (FA),48,28,11.5,4,0,6,5,0,16,229.4,14.3,0.0%
6,2009,Justin Tuck (FA),45,14,6,8,0,5,1,0,16,163.4,10.2,0.0%
1,2008,Justin Tuck (FA),51,14,12,2,1,3,0,1,16,211.2,13.2,0.0%
7,2007,Justin Tuck (FA),46,17,10,1,0,2,0,0,16,131.7,8.2,0.0%
237,2006,Justin Tuck (FA),2,2,0,0,0,0,0,0,6,4.5,0.8,0.0%
158,2005,Justin Tuck (FA),15,4,1,1,0,1,0,0,14,35.2,2.5,0.0%
