Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
269,2016,Kedric Golston (FA),2,0,0,0,0,0,0,0,2,3.0,1.5,0.0%
253,2015,Kedric Golston (FA),0,10,0,0,0,0,0,0,15,7.6,0.5,0.0%
243,2014,Kedric Golston (FA),7,0,0,0,0,0,0,0,11,10.5,1.0,0.0%
174,2013,Kedric Golston (FA),10,11,0,0,0,0,0,0,16,26.2,1.6,0.0%
174,2012,Kedric Golston (FA),8,8,0,0,0,0,0,0,16,25.7,1.6,0.0%
171,2011,Kedric Golston (FA),8,8,1.5,0,0,1,0,0,9,30.6,3.4,0.0%
151,2010,Kedric Golston (FA),19,15,0,1,0,0,0,0,13,41.4,3.2,0.0%
93,2009,Kedric Golston (FA),21,12,2,2,0,1,0,0,16,65.8,4.1,0.0%
96,2008,Kedric Golston (FA),19,9,2,1,0,0,0,0,13,55.1,4.2,0.0%
133,2007,Kedric Golston (FA),8,4,1,0,0,0,1,0,15,23.2,1.5,0.0%
75,2006,Kedric Golston (FA),34,10,0.5,3,0,0,1,0,16,69.3,4.3,0.0%
