Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
118,2015,Kevin Williams (FA),18,14,0,3,0,2,0,0,16,52.8,3.3,0.1%
85,2014,Kevin Williams (FA),18,13,3,2,0,0,0,0,16,72.0,4.5,0.1%
87,2013,Kevin Williams (FA),17,12,3.5,4,1,0,1,0,15,73.8,4.9,0.1%
79,2012,Kevin Williams (FA),19,11,2,7,0,0,2,0,16,76.1,4.8,0.1%
51,2011,Kevin Williams (FA),25,13,5,2,0,1,0,0,14,97.0,6.9,0.1%
47,2010,Kevin Williams (FA),27,12,1,10,0,1,0,0,16,92.8,5.8,0.1%
25,2009,Kevin Williams (FA),22,8,6,7,0,1,1,0,16,109.2,6.8,0.1%
4,2008,Kevin Williams (FA),47,15,8.5,5,0,1,0,0,16,165.1,10.3,0.1%
9,2007,Kevin Williams (FA),30,8,3,8,2,1,1,2,16,110.3,6.9,0.1%
31,2006,Kevin Williams (FA),28,8,5,6,0,0,3,1,16,95.3,6.0,0.1%
52,2005,Kevin Williams (FA),31,11,4,7,0,0,1,0,14,85.6,6.1,0.1%
3,2004,Kevin Williams (FA),52,18,11.5,8,1,2,3,1,16,213.4,13.3,0.1%
8,2003,Kevin Williams (FA),36,15,10.5,4,1,0,1,0,16,160.1,10.0,0.1%
