Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
256,2012,Leonard Davis (FA),0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
270,2010,Leonard Davis (FA),0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
259,2009,Leonard Davis (FA),0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
247,2008,Leonard Davis (FA),0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
255,2007,Leonard Davis (FA),0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
262,2006,Leonard Davis (FA),0,0,0,0,0,0,0,0,10,0.0,0.0,0.0%
248,2005,Leonard Davis (FA),0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%
283,2004,Leonard Davis (FA),0,0,0,0,0,0,0,0,10,0.0,0.0,0.0%
253,2003,Leonard Davis (FA),0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
313,2002,Leonard Davis (FA),0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
