Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
280,2021,Mike Daniels (FA),5,0,0,0,0,0,0,0,1,10.0,10.0,0.0%
209,2020,Mike Daniels (FA),7,10,0,0,0,0,0,0,11,20.9,1.9,0.0%
210,2019,Mike Daniels (FA),6,4,1,0,0,0,0,0,9,21.1,2.3,0.0%
172,2018,Mike Daniels (FA),10,8,2,1,0,0,0,0,10,33.3,3.3,0.0%
41,2017,Mike Daniels (FA),34,15,5,0,0,1,0,0,14,106.4,7.6,0.0%
59,2016,Mike Daniels (FA),25,8,4,1,0,0,1,0,16,85.3,5.3,0.0%
41,2015,Mike Daniels (FA),27,22,4,2,1,1,0,0,16,102.8,6.4,0.0%
53,2014,Mike Daniels (FA),29,12,5.5,0,0,0,0,0,16,92.4,5.8,0.0%
77,2013,Mike Daniels (FA),17,6,6.5,0,0,0,0,0,16,78.8,4.9,0.0%
110,2012,Mike Daniels (FA),12,0,2,1,0,0,2,1,14,51.5,3.7,0.0%
