Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
258,2012,Reggie Wells (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
275,2011,Reggie Wells (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
280,2010,Reggie Wells (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
272,2009,Reggie Wells (FA),0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%
291,2008,Reggie Wells (FA),0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
293,2007,Reggie Wells (FA),0,0,0,0,0,0,0,0,5,0.0,0.0,0.0%
330,2006,Reggie Wells (FA),0,0,0,0,0,0,0,0,9,0.0,0.0,0.0%
316,2005,Reggie Wells (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
328,2004,Reggie Wells (FA),0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%
355,2003,Reggie Wells (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
