Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
185,2012,Ron Edwards (FA),7,7,1,0,0,0,0,0,10,22.5,2.3,0.0%
139,2010,Ron Edwards (FA),15,11,2,1,0,0,0,0,11,45.5,4.1,0.0%
108,2009,Ron Edwards (FA),24,5,0,3,0,0,1,0,14,56.0,4.0,0.0%
193,2008,Ron Edwards (FA),8,0,1,0,0,0,0,0,7,18.5,2.6,0.0%
99,2007,Ron Edwards (FA),13,2,2,1,0,0,1,0,8,34.6,4.3,0.0%
142,2006,Ron Edwards (FA),15,5,2.5,1,0,0,0,0,11,37.9,3.4,0.0%
214,2005,Ron Edwards (FA),4,2,0,0,0,0,0,0,3,7.5,2.5,0.0%
114,2004,Ron Edwards (FA),13,8,4,1,0,0,0,0,12,58.2,4.9,0.0%
203,2003,Ron Edwards (FA),5,2,0.5,0,0,1,0,0,4,15.1,3.8,0.0%
84,2002,Ron Edwards (FA),25,15,2.5,0,0,2,1,1,16,82.0,5.1,0.0%
