Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
293,2021,Ryan Kerrigan (FA),3,0,0,0,0,0,0,0,8,7.0,0.9,0.0%
98,2020,Ryan Kerrigan (FA),9,8,5.5,1,0,0,1,0,16,59.8,3.7,0.0%
79,2019,Ryan Kerrigan (FA),16,9,5.5,1,0,1,0,0,12,73.4,6.1,0.0%
14,2018,Ryan Kerrigan (FA),30,13,13,1,0,3,1,0,16,152.1,9.5,0.0%
8,2017,Ryan Kerrigan (FA),34,12,13,1,1,3,0,1,16,174.3,10.9,0.0%
18,2016,Ryan Kerrigan (FA),26,7,11,2,0,2,0,0,16,136.9,8.6,0.0%
20,2015,Ryan Kerrigan (FA),33,9,9.5,3,0,2,0,0,16,137.1,8.6,0.0%
4,2014,Ryan Kerrigan (FA),51,13,13.5,1,0,5,1,0,16,211.1,13.2,0.0%
4,2013,Ryan Kerrigan (FA),47,19,8.5,3,0,4,0,0,16,177.2,11.1,0.0%
7,2012,Ryan Kerrigan (FA),42,12,8.5,8,1,2,1,1,16,166.2,10.4,0.0%
6,2011,Ryan Kerrigan (FA),42,22,7.5,4,1,4,0,1,16,165.4,10.3,0.0%
