Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
213,2013,Shaun Rogers (FA),7,2,0,0,0,0,0,0,7,14.6,2.1,0.0%
168,2011,Shaun Rogers (FA),14,8,0,1,0,0,0,0,16,31.2,2.0,0.0%
160,2010,Shaun Rogers (FA),14,3,2,0,0,0,0,0,15,36.4,2.4,0.0%
96,2009,Shaun Rogers (FA),27,9,2,1,0,0,0,0,11,64.5,5.9,0.0%
6,2008,Shaun Rogers (FA),60,15,4.5,4,0,0,0,0,16,153.1,9.6,0.0%
13,2007,Shaun Rogers (FA),26,13,7,3,1,0,3,1,16,104.8,6.6,0.0%
131,2006,Shaun Rogers (FA),19,1,3,0,0,0,1,0,6,45.3,7.6,0.0%
34,2005,Shaun Rogers (FA),30,11,5.5,2,0,2,1,1,14,99.0,7.1,0.0%
20,2004,Shaun Rogers (FA),48,20,4,5,0,0,1,0,16,144.8,9.1,0.0%
20,2003,Shaun Rogers (FA),42,16,4,5,0,1,0,0,16,135.2,8.5,0.0%
77,2002,Shaun Rogers (FA),26,22,2.5,2,0,0,2,0,14,87.0,6.2,0.0%
