Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
105,2014,Tommy Kelly (FA),22,11,1,2,0,0,0,0,16,61.0,3.8,0.0%
134,2013,Tommy Kelly (FA),12,10,2.5,0,0,0,1,0,5,44.7,8.9,0.0%
78,2012,Tommy Kelly (FA),25,20,1,2,0,0,1,0,16,76.3,4.8,0.0%
30,2011,Tommy Kelly (FA),27,14,7.5,6,1,2,1,0,16,114.7,7.2,0.0%
20,2010,Tommy Kelly (FA),38,20,7,1,0,0,0,0,16,121.8,7.6,0.0%
50,2009,Tommy Kelly (FA),37,18,1,3,0,0,0,0,16,92.8,5.8,0.0%
32,2008,Tommy Kelly (FA),31,27,4.5,0,0,0,0,0,16,92.7,5.8,0.0%
69,2007,Tommy Kelly (FA),27,3,1,1,0,0,0,0,7,48.4,6.9,0.0%
12,2006,Tommy Kelly (FA),54,14,3.5,2,0,1,0,0,16,112.8,7.1,0.0%
38,2005,Tommy Kelly (FA),37,10,4.5,1,0,3,0,0,16,94.8,5.9,0.0%
100,2004,Tommy Kelly (FA),16,4,4,1,0,3,1,0,10,68.1,6.8,0.0%
