Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
216,2017,Tony McDaniel (FA),7,1,0,1,0,1,0,0,5,19.3,3.9,0.0%
96,2016,Tony McDaniel (FA),20,23,0,3,0,0,1,0,16,63.5,4.0,0.0%
147,2015,Tony McDaniel (FA),13,12,1,1,0,0,0,0,14,41.8,3.0,0.0%
165,2014,Tony McDaniel (FA),16,14,0,1,0,0,0,0,16,38.7,2.4,0.0%
69,2013,Tony McDaniel (FA),23,30,2,1,0,0,1,0,16,85.8,5.4,0.0%
190,2012,Tony McDaniel (FA),6,5,0.5,1,0,0,1,0,11,20.5,1.9,0.0%
148,2011,Tony McDaniel (FA),13,6,2.5,2,0,0,0,0,12,39.6,3.3,0.0%
83,2010,Tony McDaniel (FA),30,6,2.5,4,0,0,0,0,15,73.2,4.9,0.0%
170,2009,Tony McDaniel (FA),12,3,1.5,1,0,0,0,0,16,32.9,2.1,0.0%
173,2008,Tony McDaniel (FA),11,6,0.5,2,0,0,0,0,10,26.2,2.6,0.0%
191,2007,Tony McDaniel (FA),5,0,0,0,0,0,0,0,4,7.5,1.9,0.0%
161,2006,Tony McDaniel (FA),11,5,1,2,0,0,0,0,10,27.4,2.7,0.0%
