Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
483,2021,Whitney Mercilus (FA),9,8,4,0,0,0,0,0,11,0.0,0.0,0.2%
353,2020,Whitney Mercilus (FA),12,9,4,1,0,0,1,0,13,0.0,0.0,0.2%
317,2019,Whitney Mercilus (FA),33,15,7.5,2,2,4,1,0,16,0.0,0.0,0.2%
297,2018,Whitney Mercilus (FA),22,17,4,0,0,2,0,0,16,0.0,0.0,0.2%
304,2017,Whitney Mercilus (FA),9,1,1,0,0,1,0,0,5,0.0,0.0,0.2%
336,2016,Whitney Mercilus (FA),36,17,7.5,1,0,1,4,0,15,0.0,0.0,0.2%
341,2015,Whitney Mercilus (FA),32,18,12,2,0,1,1,0,16,0.0,0.0,0.2%
335,2014,Whitney Mercilus (FA),31,19,5,0,0,2,0,0,15,0.0,0.0,0.2%
307,2013,Whitney Mercilus (FA),33,14,7,0,0,0,0,0,16,0.0,0.0,0.2%
320,2012,Whitney Mercilus (FA),15,3,6,1,0,2,1,0,16,0.0,0.0,0.2%
