Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
345,2019,William Hayes (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,2.0%
199,2018,William Hayes (FA),4,0,2,0,0,0,0,0,3,21.5,7.2,2.0%
160,2017,William Hayes (FA),14,5,1,0,0,0,0,0,10,38.9,3.9,2.0%
45,2016,William Hayes (FA),31,12,5,0,0,0,0,0,14,100.7,7.2,2.0%
24,2015,William Hayes (FA),36,17,5.5,0,0,2,0,0,16,131.1,8.2,2.0%
38,2014,William Hayes (FA),33,9,4,0,0,1,1,0,16,108.1,6.8,2.0%
59,2013,William Hayes (FA),21,7,5,3,1,0,2,0,14,96.9,6.9,2.0%
31,2012,William Hayes (FA),29,6,7,2,0,0,1,0,16,113.2,7.1,2.0%
157,2011,William Hayes (FA),11,5,1.5,0,0,0,0,0,10,36.5,3.7,2.0%
104,2010,William Hayes (FA),25,7,1.5,0,0,1,0,0,14,60.4,4.3,2.0%
31,2009,William Hayes (FA),30,20,4,0,0,2,0,0,16,106.9,6.7,2.0%
152,2008,William Hayes (FA),11,3,1,1,0,1,1,0,8,34.9,4.4,2.0%
