Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
7,2021,Indianapolis Colts (IND),33,19,14,17,1,1,2,17,138.0,8.1,89.9%
3,2020,Indianapolis Colts (IND),40,15,10,11,4,3,2,16,145.0,9.1,89.9%
13,2019,Indianapolis Colts (IND),41,15,8,13,1,2,2,16,127.0,7.9,89.9%
11,2018,Indianapolis Colts (IND),38,15,11,14,0,0,0,16,118.0,7.4,89.9%
27,2017,Indianapolis Colts (IND),25,13,7,11,1,2,0,16,86.0,5.4,89.9%
25,2016,Indianapolis Colts (IND),33,8,9,15,1,0,1,16,81.0,5.1,89.9%
12,2015,Indianapolis Colts (IND),35,17,8,12,5,1,0,16,121.0,7.6,89.9%
11,2014,Indianapolis Colts (IND),41,12,14,18,2,0,0,16,130.0,8.1,89.9%
10,2013,Indianapolis Colts (IND),42,15,12,15,1,2,1,16,135.0,8.4,89.9%
25,2012,Indianapolis Colts (IND),32,12,3,6,4,0,2,16,97.0,6.1,89.9%
30,2011,Indianapolis Colts (IND),29,8,9,14,3,0,0,16,82.0,5.1,89.9%
25,2010,Indianapolis Colts (IND),30,10,11,10,3,0,2,16,105.0,6.6,89.9%
19,2009,Indianapolis Colts (IND),34,16,9,13,2,0,1,16,118.0,7.4,89.9%
12,2008,Indianapolis Colts (IND),30,15,11,21,4,0,0,16,163.0,10.2,89.9%
8,2007,Indianapolis Colts (IND),28,22,15,19,2,2,1,16,217.0,13.6,89.9%
31,2006,Indianapolis Colts (IND),25,15,11,17,1,0,1,16,90.0,5.6,89.9%
3,2005,Indianapolis Colts (IND),46,18,13,23,4,0,0,16,173.0,10.8,89.9%
8,2004,Indianapolis Colts (IND),45,19,17,25,3,0,2,16,152.0,9.5,89.9%
17,2003,Indianapolis Colts (IND),31,15,15,18,3,0,0,16,125.0,7.8,89.9%
15,2002,Indianapolis Colts (IND),36,10,17,24,1,0,0,16,123.0,7.7,89.9%
