Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
25,2021,New York Giants (NYG),34,15,7,10,1,1,0,17,86.0,5.1,1.2%
14,2020,New York Giants (NYG),40,11,11,13,2,0,0,16,103.0,6.4,1.2%
26,2019,New York Giants (NYG),36,10,6,8,2,1,0,16,86.0,5.4,1.2%
28,2018,New York Giants (NYG),30,16,5,9,3,0,0,16,84.0,5.3,1.2%
26,2017,New York Giants (NYG),27,13,6,11,2,1,0,16,88.0,5.5,1.2%
4,2016,New York Giants (NYG),35,17,8,13,3,0,1,16,141.0,8.8,1.2%
19,2015,New York Giants (NYG),23,15,12,17,4,1,2,16,100.0,6.3,1.2%
21,2014,New York Giants (NYG),47,17,8,14,1,0,0,16,108.0,6.8,1.2%
14,2013,New York Giants (NYG),34,17,12,13,2,0,1,16,120.0,7.5,1.2%
12,2012,New York Giants (NYG),33,21,14,11,2,0,1,16,132.0,8.3,1.2%
16,2011,New York Giants (NYG),48,20,11,10,1,2,0,16,121.0,7.6,1.2%
6,2010,New York Giants (NYG),46,16,23,30,0,0,0,16,142.0,8.9,1.2%
26,2009,New York Giants (NYG),32,13,11,18,3,0,1,16,100.0,6.3,1.2%
10,2008,New York Giants (NYG),42,17,5,13,2,3,1,16,166.0,10.4,1.2%
6,2007,New York Giants (NYG),53,15,10,14,5,0,1,16,221.0,13.8,1.2%
23,2006,New York Giants (NYG),32,17,11,17,2,1,0,16,117.0,7.3,1.2%
7,2005,New York Giants (NYG),41,17,19,17,2,0,2,16,153.0,9.6,1.2%
21,2004,New York Giants (NYG),40,14,14,18,2,0,2,16,118.0,7.4,1.2%
18,2003,New York Giants (NYG),45,10,12,19,4,0,0,16,122.0,7.6,1.2%
14,2002,New York Giants (NYG),37,11,14,13,2,0,0,16,125.0,7.8,1.2%
