Rank,year,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
11,2021,Tennessee Titans (TEN),43,16,6,10,3,0,0,17,123.0,7.2,22.3%
26,2020,Tennessee Titans (TEN),19,15,8,11,1,0,1,17,66.0,3.9,22.3%
11,2019,Tennessee Titans (TEN),43,14,9,10,3,1,1,16,133.0,8.3,22.3%
13,2018,Tennessee Titans (TEN),39,11,6,10,2,0,1,16,113.0,7.1,22.3%
16,2017,Tennessee Titans (TEN),43,12,9,11,1,0,0,16,111.0,6.9,22.3%
20,2016,Tennessee Titans (TEN),40,12,6,4,1,0,0,16,92.0,5.8,22.3%
25,2015,Tennessee Titans (TEN),39,11,8,7,2,0,0,16,88.0,5.5,22.3%
28,2014,Tennessee Titans (TEN),39,12,4,5,2,1,0,16,78.0,4.9,22.3%
15,2013,Tennessee Titans (TEN),36,13,12,13,3,0,0,16,116.0,7.3,22.3%
18,2012,Tennessee Titans (TEN),39,19,5,13,5,1,4,16,115.0,7.2,22.3%
20,2011,Tennessee Titans (TEN),28,11,12,14,1,0,2,16,107.0,6.7,22.3%
20,2010,Tennessee Titans (TEN),40,17,8,14,1,2,2,16,119.0,7.4,22.3%
20,2009,Tennessee Titans (TEN),32,20,7,14,4,0,0,16,116.0,7.3,22.3%
4,2008,Tennessee Titans (TEN),44,20,11,23,3,0,0,16,195.0,12.2,22.3%
4,2007,Tennessee Titans (TEN),40,22,12,15,2,0,0,16,222.0,13.9,22.3%
24,2006,Tennessee Titans (TEN),26,17,11,9,5,2,3,16,117.0,7.3,22.3%
22,2005,Tennessee Titans (TEN),41,9,11,11,4,1,1,16,112.0,7.0,22.3%
27,2004,Tennessee Titans (TEN),32,18,12,10,2,0,0,16,97.0,6.1,22.3%
6,2003,Tennessee Titans (TEN),38,21,13,13,5,1,1,16,164.0,10.3,22.3%
9,2002,Tennessee Titans (TEN),40,18,11,10,4,0,0,16,144.0,9.0,22.3%
