Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
13,2021,Greg Zuerlein (NYJ),29,35,82.9,56,0,5,15,7,2,42,48,16,140.0,8.8,2.5%
5,2020,Greg Zuerlein (NYJ),34,41,82.9,59,1,5,13,12,3,33,36,16,153.0,9.6,2.5%
10,2019,Greg Zuerlein (NYJ),24,33,72.7,58,0,7,7,5,5,42,42,16,129.0,8.1,2.5%
12,2018,Greg Zuerlein (NYJ),27,31,87.1,56,0,9,10,4,4,35,36,11,128.0,11.6,2.5%
1,2017,Greg Zuerlein (NYJ),38,40,95.0,56,1,8,11,12,6,44,46,14,182.0,13.0,2.5%
30,2016,Greg Zuerlein (NYJ),19,22,86.4,54,0,5,9,3,2,23,23,16,87.0,5.4,2.5%
25,2015,Greg Zuerlein (NYJ),20,30,66.7,61,1,2,9,5,3,26,27,14,97.0,6.9,2.5%
21,2014,Greg Zuerlein (NYJ),24,30,80.0,56,1,6,10,2,5,34,35,16,118.0,7.4,2.5%
21,2013,Greg Zuerlein (NYJ),26,28,92.9,54,0,7,10,8,1,34,34,16,122.0,7.6,2.5%
20,2012,Greg Zuerlein (NYJ),23,31,74.2,60,1,4,4,7,7,26,26,16,116.0,7.3,2.5%
