Rank,year,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
27,2013,Rian Lindell (FA),23,29,79.3,54,0,3,12,4,4,31,31,16,112.0,7.0,0.0%
23,2012,Rian Lindell (FA),21,24,87.5,50,1,3,10,6,1,39,39,16,110.0,6.9,0.0%
28,2011,Rian Lindell (FA),13,15,86.7,49,0,5,2,4,0,25,25,8,62.0,7.8,0.0%
24,2010,Rian Lindell (FA),16,21,76.2,51,1,6,4,1,0,31,31,16,68.0,4.3,0.0%
28,2009,Rian Lindell (FA),28,33,84.8,56,0,0,0,0,0,24,24,16,24.0,1.5,0.0%
25,2008,Rian Lindell (FA),30,38,78.9,53,0,0,0,0,0,23,23,16,23.0,1.4,0.0%
26,2007,Rian Lindell (FA),24,27,88.9,52,0,0,0,0,0,13,13,16,13.0,0.8,0.0%
17,2006,Rian Lindell (FA),23,25,92.0,53,0,0,0,0,0,33,33,16,33.0,2.1,0.0%
22,2005,Rian Lindell (FA),29,35,82.9,53,0,0,0,0,0,26,26,16,26.0,1.6,0.0%
6,2004,Rian Lindell (FA),24,28,85.7,43,0,0,0,0,0,45,45,16,45.0,2.8,0.0%
28,2003,Rian Lindell (FA),17,24,70.8,44,0,0,0,0,0,24,24,16,24.0,1.5,0.0%
9,2002,Rian Lindell (FA),23,29,79.3,52,0,0,0,0,0,38,38,16,38.0,2.4,0.0%
