Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
184,2011,Andra Davis (FA),6,8,0,0,0,0,0,0,7,17.6,2.5,0.0%
133,2010,Andra Davis (FA),18,23,0,1,1,1,0,0,6,57.4,9.6,0.0%
38,2009,Andra Davis (FA),67,23,3.5,3,0,0,0,0,15,171.6,11.4,0.0%
77,2008,Andra Davis (FA),48,21,0,2,1,0,0,0,12,108.5,9.0,0.0%
106,2007,Andra Davis (FA),24,8,0,1,0,0,0,0,8,43.7,5.5,0.0%
45,2006,Andra Davis (FA),78,25,1,3,2,1,0,0,14,158.4,11.3,0.0%
16,2005,Andra Davis (FA),89,60,2,6,1,0,0,0,16,200.9,12.6,0.0%
73,2004,Andra Davis (FA),53,17,0.5,6,3,0,1,0,11,127.5,11.6,0.0%
11,2003,Andra Davis (FA),96,40,5,6,0,2,0,0,16,226.4,14.2,0.0%
173,2002,Andra Davis (FA),1,4,0,1,1,0,1,0,14,15.2,1.1,0.0%
