Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
134,2012,Brendon Ayanbadejo (FA),16,14,1,1,0,0,1,0,13,49.1,3.8,0.0%
133,2011,Brendon Ayanbadejo (FA),22,4,1.5,2,0,0,0,0,15,50.2,3.3,0.0%
210,2010,Brendon Ayanbadejo (FA),2,0,0,0,0,1,0,0,4,7.0,1.8,0.0%
162,2009,Brendon Ayanbadejo (FA),14,2,1,1,1,0,0,0,4,35.5,8.9,0.0%
185,2008,Brendon Ayanbadejo (FA),1,1,1,0,0,0,0,0,8,8.8,1.1,0.0%
219,2007,Brendon Ayanbadejo (FA),0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
167,2006,Brendon Ayanbadejo (FA),8,0,0,0,0,0,2,0,13,20.0,1.5,0.0%
199,2005,Brendon Ayanbadejo (FA),4,3,0,0,0,0,0,0,16,8.3,0.5,0.0%
184,2004,Brendon Ayanbadejo (FA),9,8,0,1,1,0,0,0,13,26.1,2.0,0.0%
260,2003,Brendon Ayanbadejo (FA),0,0,0,0,0,0,0,0,14,0.0,0.0,0.0%
