Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
122,2012,Bryan Thomas (FA),18,6,2.5,1,0,0,0,0,12,60.7,5.1,0.0%
164,2011,Bryan Thomas (FA),10,4,0,1,0,0,0,0,4,29.6,7.4,0.0%
85,2010,Bryan Thomas (FA),31,8,6,1,0,1,1,0,16,108.7,6.8,0.0%
87,2009,Bryan Thomas (FA),41,12,2,1,0,1,2,0,16,107.1,6.7,0.0%
40,2008,Bryan Thomas (FA),40,19,5.5,1,0,3,1,0,16,139.2,8.7,0.0%
63,2007,Bryan Thomas (FA),39,8,2.5,1,0,1,0,0,16,80.2,5.0,0.0%
62,2006,Bryan Thomas (FA),58,19,8.5,0,0,1,1,0,16,143.6,9.0,0.0%
117,2005,Bryan Thomas (FA),24,13,3.5,2,0,0,0,0,16,65.6,4.1,0.0%
119,2004,Bryan Thomas (FA),28,15,1.5,1,0,0,0,0,14,76.1,5.4,0.0%
119,2003,Bryan Thomas (FA),26,16,1,2,0,0,1,0,14,72.4,5.2,0.0%
177,2002,Bryan Thomas (FA),5,4,0.5,0,0,0,0,0,5,12.7,2.5,0.0%
