Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
159,2019,Cameron Wake (FA),3,1,2.5,1,0,0,0,0,9,21.8,2.4,0.0%
85,2018,Cameron Wake (FA),21,15,6,1,0,1,0,0,14,85.0,6.1,0.0%
62,2017,Cameron Wake (FA),26,10,10.5,0,0,0,0,0,16,118.8,7.4,0.0%
58,2016,Cameron Wake (FA),22,7,11.5,2,1,5,0,0,16,127.6,8.0,0.0%
124,2015,Cameron Wake (FA),7,2,7,1,0,4,0,0,7,65.1,9.3,0.0%
55,2014,Cameron Wake (FA),32,6,11.5,3,0,3,1,0,16,139.3,8.7,0.0%
76,2013,Cameron Wake (FA),29,8,8.5,0,0,2,1,0,15,115.7,7.7,0.0%
36,2012,Cameron Wake (FA),38,15,15,1,0,3,0,0,16,174.7,10.9,0.0%
58,2011,Cameron Wake (FA),37,5,8.5,2,0,0,0,0,16,134.0,8.4,0.0%
21,2010,Cameron Wake (FA),48,9,14,4,0,3,0,0,16,205.5,12.8,0.0%
139,2009,Cameron Wake (FA),10,1,5.5,1,0,1,0,0,14,58.3,4.2,0.0%
