Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
303,2019,Connor Barwin (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
269,2018,Connor Barwin (FA),6,6,1,4,0,0,0,0,15,0.0,0.0,0.0%
269,2017,Connor Barwin (FA),26,8,5,0,0,0,1,0,14,0.0,0.0,0.0%
290,2016,Connor Barwin (FA),20,14,5,2,0,1,0,0,16,0.0,0.0,0.0%
307,2015,Connor Barwin (FA),44,10,7,7,0,1,0,0,16,0.0,0.0,0.0%
322,2014,Connor Barwin (FA),47,17,14.5,5,0,2,0,0,16,0.0,0.0,0.0%
305,2013,Connor Barwin (FA),44,14,5,10,1,1,1,0,16,0.0,0.0,0.0%
263,2012,Connor Barwin (FA),35,9,3,6,0,0,1,0,16,0.0,0.0,0.0%
247,2011,Connor Barwin (FA),34,13,11.5,7,0,1,0,0,16,0.0,0.0,0.0%
277,2010,Connor Barwin (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
271,2009,Connor Barwin (FA),11,4,4.5,3,0,0,1,0,16,0.0,0.0,0.0%
