Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
132,2016,DeMarcus Ware (FA),9,6,4,1,0,0,0,0,10,43.3,4.3,0.0%
96,2015,DeMarcus Ware (FA),17,8,7.5,0,0,1,1,0,12,89.7,7.5,0.0%
47,2014,DeMarcus Ware (FA),34,7,10,1,1,2,0,0,16,148.6,9.3,0.0%
79,2013,DeMarcus Ware (FA),28,12,6,2,1,0,1,0,13,109.8,8.4,0.0%
46,2012,DeMarcus Ware (FA),33,23,11.5,0,0,5,1,0,16,159.7,10.0,0.0%
9,2011,DeMarcus Ware (FA),48,10,19.5,2,0,2,1,0,16,237.8,14.9,0.0%
12,2010,DeMarcus Ware (FA),56,10,15.5,1,0,2,2,1,16,229.7,14.4,0.0%
37,2009,DeMarcus Ware (FA),45,12,11,6,0,5,0,0,16,172.3,10.8,0.0%
1,2008,DeMarcus Ware (FA),69,15,20,2,0,6,1,0,16,293.5,18.3,0.0%
14,2007,DeMarcus Ware (FA),60,24,14,3,0,4,0,0,16,184.9,11.6,0.0%
16,2006,DeMarcus Ware (FA),59,14,11.5,6,1,5,1,2,16,195.2,12.2,0.0%
64,2005,DeMarcus Ware (FA),47,11,8,1,0,3,0,0,16,126.9,7.9,0.0%
