Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
330,2020,Don Muhlbach (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
380,2019,Don Muhlbach (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
333,2018,Don Muhlbach (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
345,2017,Don Muhlbach (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
328,2016,Don Muhlbach (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
316,2015,Don Muhlbach (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
351,2014,Don Muhlbach (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
342,2013,Don Muhlbach (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
343,2012,Don Muhlbach (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
308,2011,Don Muhlbach (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
324,2010,Don Muhlbach (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
294,2009,Don Muhlbach (FA),0,0,0,0,0,0,0,0,15,0.0,0.0,0.0%
286,2008,Don Muhlbach (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
271,2007,Don Muhlbach (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
288,2006,Don Muhlbach (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
289,2005,Don Muhlbach (FA),0,0,0,0,0,0,0,0,11,0.0,0.0,0.0%
289,2004,Don Muhlbach (FA),0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%
