Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
165,2017,Dwight Freeney (FA),3,0,3,1,0,0,0,0,9,25.5,2.8,0.0%
149,2016,Dwight Freeney (FA),7,3,3,0,0,0,0,0,15,34.8,2.3,0.0%
117,2015,Dwight Freeney (FA),8,1,8,0,0,3,0,0,11,69.3,6.3,0.0%
143,2014,Dwight Freeney (FA),6,4,3.5,1,0,0,1,0,16,39.2,2.5,0.0%
210,2013,Dwight Freeney (FA),1,1,0.5,0,0,0,0,0,4,4.3,1.1,0.0%
123,2012,Dwight Freeney (FA),10,2,5,1,0,1,0,0,14,59.6,4.3,0.0%
101,2011,Dwight Freeney (FA),13,6,8.5,0,0,2,0,0,16,83.6,5.2,0.0%
72,2010,Dwight Freeney (FA),21,4,10,2,0,5,0,0,16,117.7,7.4,0.0%
74,2009,Dwight Freeney (FA),19,5,13.5,1,0,1,0,0,14,124.4,8.9,0.0%
56,2008,Dwight Freeney (FA),24,4,10.5,0,0,4,0,0,15,127.2,8.5,0.0%
84,2007,Dwight Freeney (FA),18,3,3.5,0,0,4,0,0,9,59.4,6.6,0.0%
104,2006,Dwight Freeney (FA),26,3,5.5,2,0,4,0,0,16,82.4,5.2,0.0%
70,2005,Dwight Freeney (FA),30,5,11,3,0,6,0,0,14,121.5,8.7,0.0%
27,2004,Dwight Freeney (FA),33,3,16,3,0,4,0,0,16,181.4,11.3,0.0%
67,2003,Dwight Freeney (FA),28,4,11,1,0,4,2,1,14,145.6,10.4,0.0%
19,2002,Dwight Freeney (FA),45,1,13,1,0,9,1,0,13,211.8,16.3,0.0%
