Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
443,2021,J.J. Jansen (CAR),0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%
327,2020,J.J. Jansen (CAR),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
325,2019,J.J. Jansen (CAR),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
328,2018,J.J. Jansen (CAR),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
331,2017,J.J. Jansen (CAR),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
353,2016,J.J. Jansen (CAR),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
349,2015,J.J. Jansen (CAR),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
346,2014,J.J. Jansen (CAR),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
338,2013,J.J. Jansen (CAR),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
340,2012,J.J. Jansen (CAR),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
306,2011,J.J. Jansen (CAR),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
322,2010,J.J. Jansen (CAR),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
303,2009,J.J. Jansen (CAR),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
