Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
94,2014,Jarret Johnson (FA),36,15,1,1,0,1,0,0,15,87.6,5.8,0.0%
112,2013,Jarret Johnson (FA),22,11,3,3,0,0,0,0,11,67.9,6.2,0.0%
116,2012,Jarret Johnson (FA),27,13,1.5,0,0,1,0,0,15,65.4,4.4,0.0%
79,2011,Jarret Johnson (FA),40,16,2.5,3,0,1,1,1,16,115.7,7.2,0.0%
76,2010,Jarret Johnson (FA),43,30,1.5,2,0,2,0,0,16,116.8,7.3,0.0%
68,2009,Jarret Johnson (FA),36,14,6,4,2,1,0,0,16,131.3,8.2,0.0%
46,2008,Jarret Johnson (FA),45,12,5,3,0,2,1,0,16,135.9,8.5,0.0%
49,2007,Jarret Johnson (FA),42,16,2,2,0,2,0,0,16,96.8,6.1,0.0%
149,2006,Jarret Johnson (FA),14,5,1.5,2,0,0,0,0,16,33.9,2.1,0.0%
121,2005,Jarret Johnson (FA),26,12,1.5,3,0,1,0,0,15,62.7,4.2,0.0%
148,2004,Jarret Johnson (FA),9,8,0,2,1,0,1,1,13,47.7,3.7,0.0%
170,2003,Jarret Johnson (FA),8,3,0,0,0,0,0,0,9,19.4,2.2,0.0%
