Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
109,2011,Jason Taylor (FA),13,5,7,2,0,1,0,0,12,70.9,5.9,0.0%
82,2010,Jason Taylor (FA),25,11,5,6,0,2,2,0,16,111.0,6.9,0.0%
61,2009,Jason Taylor (FA),33,9,7,5,1,3,1,1,15,141.4,9.4,0.0%
114,2008,Jason Taylor (FA),16,6,2.5,5,0,1,0,0,9,62.6,7.0,0.0%
58,2007,Jason Taylor (FA),22,5,4,1,1,3,2,1,8,85.4,10.7,0.0%
9,2006,Jason Taylor (FA),42,20,13.5,11,2,9,2,2,16,214.8,13.4,0.0%
23,2005,Jason Taylor (FA),52,21,12,10,0,4,2,1,16,187.1,11.7,0.0%
21,2004,Jason Taylor (FA),41,27,9.5,11,1,2,3,0,15,194.1,12.9,0.0%
30,2003,Jason Taylor (FA),39,20,13,3,0,3,2,1,15,196.3,13.1,0.0%
4,2002,Jason Taylor (FA),46,23,18.5,8,0,7,2,0,16,251.2,15.7,0.0%
