Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
165,2011,Joey Porter (FA),11,5,1,0,0,0,0,0,6,29.4,4.9,0.0%
79,2010,Joey Porter (FA),38,12,5,0,0,2,0,0,14,114.1,8.2,0.0%
69,2009,Joey Porter (FA),34,7,9,1,0,1,1,0,13,126.9,9.8,0.0%
38,2008,Joey Porter (FA),29,5,12.5,1,0,3,1,0,12,147.4,12.3,0.0%
104,2007,Joey Porter (FA),24,3,1,2,0,0,0,0,8,45.4,5.7,0.0%
74,2006,Joey Porter (FA),40,15,7,5,2,0,0,1,14,123.1,8.8,0.0%
41,2005,Joey Porter (FA),39,18,10.5,4,2,4,1,0,15,155.4,10.4,0.0%
48,2004,Joey Porter (FA),37,17,7,12,1,3,0,0,15,154.1,10.3,0.0%
71,2003,Joey Porter (FA),50,16,5,4,0,1,0,0,14,142.2,10.2,0.0%
15,2002,Joey Porter (FA),61,28,9,10,4,2,2,0,16,222.4,13.9,0.0%
