Rank,year,Player,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,ROST
394,2019,John Denney (FA),0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
348,2018,John Denney (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
363,2017,John Denney (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
345,2016,John Denney (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
332,2015,John Denney (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
218,2014,John Denney (FA),0,0,0,0,0,0,1,0,16,4.0,0.3,0.0%
213,2013,John Denney (FA),0,0,0,0,0,0,1,0,16,4.0,0.3,0.0%
317,2012,John Denney (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
294,2011,John Denney (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
313,2010,John Denney (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
300,2009,John Denney (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
285,2008,John Denney (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
276,2007,John Denney (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
213,2006,John Denney (FA),0,0,0,0,0,0,1,0,15,4.0,0.3,0.0%
288,2005,John Denney (FA),0,0,0,0,0,0,0,0,16,0.0,0.0,0.0%
